"","YEAR","STATE","COUNTY","ST_CASE","MONTH","DAY","HOUR","MINUTE","FATALS","HARM_EV","WEATHER","CF1","CF2","CF3","DRUNK_DR","RAIL","DATE.Y","DATE"
"1",1975,1,95,10001,1,4,22,24,1,12,1,0,0,0,0,"*******",1975-01-04,2014-01-04
"2",1975,1,95,10002,1,2,4,30,1,18,1,0,0,0,0,"*******",1975-01-02,2014-01-02
"3",1975,1,35,10003,1,1,4,0,1,1,1,0,0,0,0,"*******",1975-01-01,2014-01-01
"4",1975,1,77,10004,1,2,14,50,1,27,1,0,0,0,0,"*******",1975-01-02,2014-01-02
"5",1975,1,97,10005,1,5,20,0,1,28,1,0,0,0,0,"*******",1975-01-05,2014-01-05
"6",1975,1,65,10006,1,4,15,0,1,12,1,0,0,0,0,"*******",1975-01-04,2014-01-04
"7",1975,1,89,10007,1,8,13,20,1,17,2,0,0,0,0,"*******",1975-01-08,2014-01-08
"8",1975,1,69,10008,1,4,1,15,1,1,2,0,0,0,0,"*******",1975-01-04,2014-01-04
"9",1975,1,73,10009,1,6,17,40,1,8,1,0,0,0,0,"*******",1975-01-06,2014-01-06
"10",1975,1,101,10010,1,3,17,44,1,12,2,1,0,0,0,"*******",1975-01-03,2014-01-03
"11",1975,1,3,10011,1,10,23,0,1,1,1,0,0,0,0,"*******",1975-01-10,2014-01-10
"12",1975,1,47,10012,1,5,17,48,1,12,9,0,0,0,0,"*******",1975-01-05,2014-01-05
"13",1975,1,117,10013,1,11,15,55,1,27,1,0,0,0,0,"*******",1975-01-11,2014-01-11
"14",1975,1,61,10014,1,10,22,50,2,14,1,0,0,0,0,"*******",1975-01-10,2014-01-10
"15",1975,1,117,10015,1,13,18,10,1,8,1,0,0,0,0,"*******",1975-01-13,2014-01-13
"16",1975,1,101,10016,1,8,21,30,1,18,9,0,0,0,0,"*******",1975-01-08,2014-01-08
"17",1975,1,97,10017,1,11,16,1,1,8,1,0,0,0,0,"*******",1975-01-11,2014-01-11
"18",1975,1,95,10018,1,7,18,30,1,12,1,0,0,0,0,"*******",1975-01-07,2014-01-07
"19",1975,1,99,10019,1,12,3,21,1,7,1,0,0,0,0,"*******",1975-01-12,2014-01-12
"21",1975,1,41,10021,1,15,8,30,1,19,1,0,0,0,0,"*******",1975-01-15,2014-01-15
"22",1975,1,73,10022,1,25,17,0,1,14,1,0,0,0,1,"*******",1975-01-25,2014-01-25
"23",1975,1,117,10023,1,10,15,20,1,1,2,1,0,0,0,"*******",1975-01-10,2014-01-10
"24",1975,1,109,10024,1,18,18,0,1,12,1,0,0,0,0,"*******",1975-01-18,2014-01-18
"25",1975,1,97,10025,1,16,16,40,1,1,1,0,0,0,0,"*******",1975-01-16,2014-01-16
"26",1975,1,83,10026,1,8,14,37,1,12,2,0,0,0,1,"*******",1975-01-08,2014-01-08
"27",1975,1,97,10027,1,17,19,48,1,20,1,0,0,0,0,"*******",1975-01-17,2014-01-17
"28",1975,1,77,10028,1,22,22,45,1,1,1,0,0,0,0,"*******",1975-01-22,2014-01-22
"29",1975,1,97,10029,1,22,14,30,1,8,2,0,0,0,0,"*******",1975-01-22,2014-01-22
"30",1975,1,81,10030,1,17,7,45,1,17,1,0,0,0,0,"*******",1975-01-17,2014-01-17
"31",1975,1,133,10031,1,18,17,50,1,12,2,46,0,0,0,"*******",1975-01-18,2014-01-18
"32",1975,1,97,10032,1,25,2,6,3,28,2,99,99,99,0,"*******",1975-01-25,2014-01-25
"33",1975,1,47,10033,1,19,1,0,1,8,1,0,0,0,0,"*******",1975-01-19,2014-01-19
"34",1975,1,47,10034,1,21,16,55,1,12,9,0,0,0,0,"*******",1975-01-21,2014-01-21
"35",1975,1,101,10035,1,16,2,0,2,31,1,46,0,0,0,"*******",1975-01-16,2014-01-16
"36",1975,1,107,10036,1,18,20,30,1,8,1,0,0,0,0,"*******",1975-01-18,2014-01-18
"37",1975,1,3,10037,1,24,5,30,1,12,1,0,0,0,0,"*******",1975-01-24,2014-01-24
"38",1975,1,55,10038,1,19,10,25,1,19,1,0,0,0,0,"*******",1975-01-19,2014-01-19
"39",1975,1,97,10039,1,16,12,43,1,8,1,0,0,0,0,"*******",1975-01-16,2014-01-16
"40",1975,1,61,10040,1,28,19,25,1,12,1,0,0,0,0,"*******",1975-01-28,2014-01-28
"41",1975,1,59,10041,1,27,17,55,1,12,1,0,0,0,0,"*******",1975-01-27,2014-01-27
"42",1975,1,31,10042,1,29,16,10,1,8,1,0,0,0,0,"*******",1975-01-29,2014-01-29
"43",1975,1,47,10043,1,3,16,0,1,12,2,0,0,0,0,"*******",1975-01-03,2014-01-03
"44",1975,1,97,10044,12,27,17,23,1,12,1,0,0,0,0,"*******",1975-12-27,2014-12-27
"45",1975,1,39,10045,1,4,10,50,1,12,9,0,0,0,0,"*******",1975-01-04,2014-01-04
"46",1975,1,77,10046,1,29,21,50,1,12,1,0,0,0,0,"*******",1975-01-29,2014-01-29
"47",1975,1,77,10047,1,29,22,47,1,10,1,0,0,0,0,"*******",1975-01-29,2014-01-29
"48",1975,1,3,10048,1,29,5,40,1,12,7,1,0,0,0,"*******",1975-01-29,2014-01-29
"49",1975,1,81,10049,1,30,20,55,3,12,1,0,0,0,0,"*******",1975-01-30,2014-01-30
"50",1975,1,81,10050,1,31,11,35,1,1,1,0,0,0,0,"*******",1975-01-31,2014-01-31
"51",1975,1,131,10051,1,31,23,50,1,12,7,0,0,0,0,"*******",1975-01-31,2014-01-31
"52",1975,1,115,10052,1,9,0,15,1,8,2,0,0,0,0,"*******",1975-01-09,2014-01-09
"53",1975,1,9,10053,1,30,4,0,1,1,1,0,0,0,0,"*******",1975-01-30,2014-01-30
"54",1975,1,3,10054,1,31,12,40,1,12,1,0,0,0,0,"*******",1975-01-31,2014-01-31
"55",1975,1,3,10055,1,5,22,15,1,12,1,0,0,0,0,"*******",1975-01-05,2014-01-05
"56",1975,1,33,10056,2,2,14,45,1,1,9,0,0,0,0,"*******",1975-02-02,2014-02-02
"57",1975,1,85,10057,2,1,7,55,2,12,7,1,0,0,0,"*******",1975-02-01,2014-02-01
"58",1975,1,3,10058,2,1,7,0,1,1,7,1,0,0,0,"*******",1975-02-01,2014-02-01
"59",1975,1,73,10059,2,3,21,55,1,26,2,0,0,0,0,"*******",1975-02-03,2014-02-03
"60",1975,1,17,10060,2,2,14,30,1,1,1,0,0,0,0,"*******",1975-02-02,2014-02-02
"61",1975,1,47,10061,2,6,15,45,1,12,1,3,0,0,0,"*******",1975-02-06,2014-02-06
